epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.7190999940493221,0.512372634643377,,,0.0001
2,0.7117419788584092,0.537117903930131,,,0.0002
3,0.6972961714694593,0.5574963609898108,,,0.0003
4,0.688509581477708,0.5254730713245997,,,0.0004
5,0.6753442943356444,0.5858806404657934,,,0.0005
6,0.6884441875474422,0.5633187772925764,,,0.0006
7,0.67073473512172,0.5931586608442504,,,0.0007
8,0.6779085512244545,0.5509461426491994,,,0.0008
9,0.6788653938704357,0.5917030567685589,,,0.0009000000000000001
10,0.6842851309103043,0.5735080058224163,,,0.001
11,0.6599295044743512,0.5764192139737991,,,0.001
12,0.6646742633336497,0.6004366812227074,,,0.0009996954135095479
13,0.6502734326379268,0.6317321688500728,,,0.0009987820251299122
14,0.6392165378191585,0.6317321688500728,,,0.0009972609476841367
15,0.6381367628057277,0.648471615720524,,,0.0009951340343707852
16,0.6323484240921303,0.641193595342067,,,0.000992403876506104
17,0.6380697831489808,0.6470160116448326,,,0.0009890738003669028
18,0.624320783556115,0.653566229985444,,,0.0009851478631379982
19,0.6398762011632128,0.6491994177583698,,,0.0009806308479691594
20,0.6267388286028367,0.641193595342067,,,0.0009755282581475768
21,0.6205109010357003,0.6462882096069869,,,0.0009698463103929542
22,0.5972971108889823,0.6783114992721979,,,0.0009635919272833937
23,0.6155011793584977,0.6746724890829694,,,0.0009567727288213005
24,0.5987479634680603,0.6754002911208151,,,0.0009493970231495835
25,0.5966652848661553,0.6855895196506551,,,0.0009414737964294635
26,0.5822092219211129,0.6906841339155749,,,0.0009330127018922195
27,0.5883201653086289,0.6885007278020379,,,0.0009240240480782129
28,0.5876525941547521,0.6848617176128093,,,0.0009145187862775209
29,0.5759589727615512,0.6819505094614265,,,0.0009045084971874737
30,0.6016159077572163,0.6739446870451238,,,0.0008940053768033609
31,0.5704069494159981,0.6943231441048034,,,0.000883022221559489
32,0.5609631632960346,0.6906841339155749,,,0.0008715724127386971
33,0.5680029269475951,0.7001455604075691,,,0.0008596699001693256
34,0.5595061897016855,0.715429403202329,,,0.0008473291852294987
35,0.5403517468180372,0.7132459970887919,,,0.0008345653031794292
36,0.554937847056243,0.6935953420669578,,,0.0008213938048432696
37,0.5367714734056631,0.722707423580786,,,0.0008078307376628291
38,0.544570675756907,0.7343522561863173,,,0.0007938926261462366
39,0.5387000849760603,0.7066957787481805,,,0.0007795964517353734
40,0.523488086470697,0.7379912663755459,,,0.0007649596321166025
41,0.5125173966263405,0.7496360989810772,,,0.00075
42,0.4977120167129772,0.7481804949053857,,,0.0007347357813929454
43,0.4903343584513213,0.7365356622998545,,,0.0007191855733945387
44,0.4843784237532637,0.759825327510917,,,0.0007033683215379002
45,0.4973884973637055,0.7409024745269287,,,0.0006873032967079561
46,0.4670870848097655,0.7641921397379913,,,0.0006710100716628344
