epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.7320476506817222,0.5177434030937216,0.6807947102459995,0.610909090909091,0.0001
2,0.7036361907480846,0.5222929936305732,0.6803701177510348,0.5927272727272728,0.0002
3,0.6997809625409537,0.5341219290263877,0.6804780613292347,0.5163636363636364,0.0003
4,0.6992947018287526,0.5468607825295724,0.70820496190678,0.4072727272727273,0.0004
5,0.6847124288470448,0.5741583257506825,0.6910062380270524,0.64,0.0005
6,0.7020004502852686,0.543221110100091,0.7035178615830161,0.6363636363636364,0.0006
7,0.685608677315213,0.5614194722474978,0.6743045908754522,0.6072727272727273,0.0007
8,0.692877758514675,0.5614194722474978,0.7016838667609475,0.610909090909091,0.0008
9,0.6824034586399658,0.5759781619654231,0.6759506019678982,0.4909090909090909,0.0009000000000000001
10,0.7161443449889019,0.545950864422202,0.7021207139708779,0.4,0.001
11,0.698971459440365,0.5050045495905369,0.6770200282877141,0.6218181818181818,0.001
12,0.686925164778955,0.5932666060054596,0.7392910021001642,0.41818181818181815,0.0009996954135095479
13,0.6774525205800488,0.565059144676979,0.6749438797343861,0.52,0.0009987820251299122
14,0.6804304282376721,0.5868971792538672,0.6566734812476418,0.6181818181818182,0.0009972609476841367
15,0.6686260500639758,0.5932666060054596,0.6719092765721408,0.5963636363636363,0.0009951340343707852
16,0.6801719805454536,0.5759781619654231,0.6610419210520657,0.64,0.000992403876506104
17,0.6704222216076803,0.5796178343949044,0.6756151587312872,0.5054545454545455,0.0009890738003669028
18,0.6925052286712987,0.5859872611464968,0.6604883995923129,0.6290909090909091,0.0009851478631379982
19,0.6916743765319879,0.5377616014558689,0.6627191760323264,0.6145454545454545,0.0009806308479691594
20,0.6883591730774696,0.5559599636032757,0.7364420513673262,0.3890909090909091,0.0009755282581475768
21,0.6729851048354999,0.5941765241128298,0.6655857168544422,0.6181818181818182,0.0009698463103929542
22,0.6785132214630377,0.607825295723385,0.7513967514038086,0.5236363636363637,0.0009635919272833937
23,0.6997602822782778,0.6132848043676069,0.6766558662327853,0.6145454545454545,0.0009567727288213005
24,0.6866633642576736,0.5814376706096451,0.7407827151905406,0.509090909090909,0.0009493970231495835
25,0.6766174271824796,0.5768880800727935,0.7080086647380482,0.43636363636363634,0.0009414737964294635
26,0.6876921981329046,0.5523202911737943,0.703084912516854,0.6181818181818182,0.0009330127018922195
27,0.6993418456859433,0.5159235668789809,0.7040579654953697,0.6181818181818182,0.0009240240480782129
28,0.6863265803882054,0.5095541401273885,0.6824978176030245,0.49454545454545457,0.0009145187862775209
29,0.6673230690995166,0.5532302092811647,0.6706064089861783,0.56,0.0009045084971874737
