epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.726288753639568,0.5354545454545454,0.6779805756833431,0.5,0.0001
2,0.7104685434428128,0.5445454545454546,0.6864298094798179,0.6605839416058394,0.0002
3,0.7067260774699125,0.5454545454545454,0.6986553242606838,0.6277372262773723,0.0003
4,0.697994653745131,0.5218181818181818,0.6858442103775748,0.6240875912408759,0.0004
5,0.6921856760978699,0.5490909090909091,0.6786771072958507,0.46715328467153283,0.0005
6,0.6766555532542142,0.5881818181818181,0.6650196022360865,0.6094890510948905,0.0006
7,0.6883000575412404,0.5518181818181818,0.6858257568665664,0.656934306569343,0.0007
8,0.684184507673437,0.5518181818181818,0.6486117961632945,0.6131386861313869,0.0008
9,0.6719506287574768,0.5845454545454546,0.6503022622017964,0.5766423357664233,0.0009000000000000001
10,0.6871246114644137,0.5809090909090909,0.6649509359450236,0.5437956204379562,0.001
11,0.679522321657701,0.5354545454545454,0.682390880845759,0.6240875912408759,0.001
12,0.6662158294157549,0.6072727272727273,0.7252338184927501,0.48905109489051096,0.0009996954135095479
13,0.6758361885764382,0.5836363636363636,0.6457501240890392,0.583941605839416,0.0009987820251299122
14,0.6762693840807135,0.6145454545454545,0.6539072468333,0.5620437956204379,0.0009972609476841367
15,0.6636620918187228,0.6090909090909091,0.6587772543412925,0.656934306569343,0.0009951340343707852
16,0.6666203639724038,0.6127272727272727,0.6589133369661596,0.656934306569343,0.000992403876506104
17,0.650945136980577,0.6345454545454545,0.682974361155155,0.656934306569343,0.0009890738003669028
18,0.6694092739712109,0.5881818181818181,0.6426936588148131,0.6642335766423357,0.0009851478631379982
19,0.647506739876487,0.6218181818181818,0.6577960705235056,0.6021897810218978,0.0009806308479691594
20,0.6425986361503601,0.6218181818181818,0.6317169505314235,0.6715328467153284,0.0009755282581475768
21,0.6600250202959234,0.5909090909090909,0.635001928701888,0.5912408759124088,0.0009698463103929542
22,0.628260556567799,0.649090909090909,0.6393574028119554,0.6642335766423357,0.0009635919272833937
23,0.6378780018199574,0.6736363636363636,0.6663474375314086,0.5985401459854015,0.0009567727288213005
24,0.6453076533837752,0.6190909090909091,0.6730598859543347,0.5145985401459854,0.0009493970231495835
25,0.6127004337310791,0.6554545454545454,0.670789895266512,0.6678832116788321,0.0009414737964294635
26,0.6198547274416143,0.6618181818181819,0.6166230779494682,0.656934306569343,0.0009330127018922195
27,0.6199514369531112,0.6709090909090909,0.6269499515965037,0.6788321167883211,0.0009240240480782129
28,0.5975176325711337,0.6963636363636364,0.6702312948930003,0.5218978102189781,0.0009145187862775209
29,0.6321145948496731,0.6318181818181818,0.6025573724377764,0.7007299270072993,0.0009045084971874737
30,0.5953523750738664,0.7036363636363636,0.6137119327148381,0.6861313868613139,0.0008940053768033609
31,0.6098798331347379,0.6645454545454546,0.623368490786448,0.6532846715328468,0.000883022221559489
32,0.5990542819283226,0.6527272727272727,0.6163318231158013,0.6751824817518248,0.0008715724127386971
33,0.5700031029094349,0.7009090909090909,0.6749309040334103,0.5766423357664233,0.0008596699001693256
34,0.5996980047225953,0.6563636363636364,0.6917263652286391,0.7007299270072993,0.0008473291852294987
35,0.5834488296508789,0.6863636363636364,0.6185787520269408,0.6897810218978102,0.0008345653031794292
36,0.5540486388856715,0.7172727272727273,0.6425859545269151,0.6459854014598541,0.0008213938048432696
37,0.5335914499109442,0.7227272727272728,0.6351140315515281,0.6204379562043796,0.0008078307376628291
38,0.5524966773119839,0.6972727272727273,0.6473209183581554,0.6751824817518248,0.0007938926261462366
39,0.5759192895889282,0.6881818181818182,0.6455540739706833,0.7116788321167883,0.0007795964517353734
40,0.5259098345583135,0.7236363636363636,0.7593619349229075,0.6861313868613139,0.0007649596321166025
41,0.5424910941990939,0.7027272727272728,0.6802573974115135,0.7116788321167883,0.00075
42,0.5386664841391824,0.7390909090909091,0.6205899032363056,0.6459854014598541,0.0007347357813929454
43,0.5121129767461257,0.7463636363636363,0.6555764831765725,0.7007299270072993,0.0007191855733945387
44,0.49637706171382556,0.7372727272727273,0.6176357878385669,0.6970802919708029,0.0007033683215379002
