epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.72330677639449,0.5211062590975255,,,0.0001
2,0.716096458389943,0.5414847161572053,,,0.0002
3,0.698742633650223,0.5480349344978166,,,0.0003
4,0.7022992144332009,0.5342066957787481,,,0.0004
5,0.6899730494622753,0.5451237263464338,,,0.0005
6,0.6822769208072401,0.5880640465793304,,,0.0006
7,0.6844329554614715,0.5611353711790393,,,0.0007
8,0.6824181436451241,0.5749636098981077,,,0.0008
9,0.6939198450230094,0.5574963609898108,,,0.0009000000000000001
10,0.6645855362238322,0.5917030567685589,,,0.001
11,0.6671285118251562,0.5909752547307132,,,0.001
12,0.7051039928085072,0.5436681222707423,,,0.0009996954135095479
13,0.6871939821187759,0.5531295487627366,,,0.0009987820251299122
14,0.671992390870701,0.5902474526928675,,,0.0009972609476841367
15,0.6911978806644201,0.5618631732168851,,,0.0009951340343707852
16,0.662110619062593,0.6069868995633187,,,0.000992403876506104
17,0.6775483697262393,0.6055312954876274,,,0.0009890738003669028
18,0.681413344941285,0.574235807860262,,,0.0009851478631379982
19,0.6730002517957007,0.5669577874818049,,,0.0009806308479691594
20,0.6786089000743549,0.5727802037845706,,,0.0009755282581475768
21,0.6752069125702982,0.586608442503639,,,0.0009698463103929542
22,0.6761234931029607,0.611353711790393,,,0.0009635919272833937
23,0.6650213991363669,0.5982532751091703,,,0.0009567727288213005
24,0.683792600898937,0.5982532751091703,,,0.0009493970231495835
25,0.660017355126932,0.6426491994177583,,,0.0009414737964294635
26,0.6783681565670641,0.5924308588064047,,,0.0009330127018922195
27,0.6717631544435215,0.5982532751091703,,,0.0009240240480782129
28,0.6782311942032504,0.6091703056768559,,,0.0009145187862775209
29,0.6766142872049645,0.5756914119359534,,,0.0009045084971874737
30,0.6615440969557395,0.6026200873362445,,,0.0008940053768033609
31,0.6783602235966201,0.6106259097525473,,,0.000883022221559489
32,0.6690056887082484,0.6149927219796215,,,0.0008715724127386971
33,0.6759958500598369,0.604075691411936,,,0.0008596699001693256
34,0.6764923840804565,0.5669577874818049,,,0.0008473291852294987
35,0.6804648243877739,0.5793304221251819,,,0.0008345653031794292
36,0.681882499000044,0.5844250363901019,,,0.0008213938048432696
37,0.6985100568468741,0.5560407569141194,,,0.0008078307376628291
38,0.7010664273557705,0.5356622998544396,,,0.0007938926261462366
